topic,answer_type,problem,expected_answer
Sports,Person,Who placed 3rd in Women's Épée Individual in the 2020 Tokyo Olympics?,Katrina Lehis
Science and technology,Other,What is the number and name of the second asteroid discovered by astronomer Édouard Jean-Marie Stephan?,91 Aegina
Politics,Person,"What is the name of the U.S. President who received a posthumous ""Raven"" Award in 1959?",Franklin Delano Roosevelt
Geography,Number,What is the forest cover area of Maharashtra in square kilometers according to the interpretation of IRS Resourcesat-2 LISS III satellite data from 2017-18?,"50,777.56"
Other,Date,What year was LEGO part ID 3778 initially released?,1979
Geography,Number,"As of the 2020 Census, what was the population of Grand Mound, Iowa?",615
TV shows,Person,Name the person who became the president of Entertainment at Fox Broadcasting in September 1995 but left Fox in 1996 and soon became the president of HBO.,John Matoian
Politics,Date,In what year did Norodom Ranariddh join the FUNCINPEC?,1983
Art,Number,"How much did Richard Serra's work ""One Ton Prop: House of Cards"" weigh in tons?",1 ton
,,In what city did Rachel Carson and Dorothy Freeman first meet in 1953?,Southport Island
Art,Other,"What car parts did Herbert House cut and weld to create the *Family Circle* sculpture found in the Adams Morgan neighborhood of Washington, D.C.?",car bumpers
Geography,Place,What is the Kashmir Valley also known as?,Vale of Kashmir
Science and technology,Place,In what city did the American mathematician Rufus Isaacs pass away?,"Baltimore, Maryland"
Other,Date,"What month, day, and year did the New York City Department of Parks and Recreation rename Railroad Park in Queens for Gwen Ifill?","June 17, 2021"
TV shows,Other,"In Season 7 of RPDR, what song did Katya lip sync to on the episode she was eliminated?","""Roar"" by Katy Perry"
Geography,Date,"What year was the municipality of El Peñol, Antioquia, Colombia, founded?",1714
Politics,Date,"On what day, month, and year was John Bramston appointed as a member of the Queensland Legislative Council?","July 3, 1863"
History,Date,"What day, month, and year did Lothair I, King of Italy, become King of Middle Francia?",10 August 843
Science and technology,Date,"What is the month and year when Aldrin, in association with the Florida Institute of Technology, presented a ""master plan"" for NASA consideration for astronauts with a ""tour of duty"" of ten years?",Aug-15
History,Date,"Which day, month, and year did Admiral Charles Philip Snyder get married to Cornelia Lee Wolcott?",10-Jul-02
Art,Other,Name the traditional dance in Kashmir where a male dancer accompanies the chhakri singers and was introduced during the Afghan period.,Bacha Nagma 
Science and technology,Person,Which mathematician received the Salem Prize in 1969?,Richard Hunt.
Politics,Person,By whom was Count Botho zu Eulenburg preceded as Minister President of Prussia?,Leo von Caprivi
Other,Person,What is the name of the sole survivor of the Busy Bee Congo 2019 crash?,Muma Emmanuel
Science and technology,Other,"In 1881, Edward S. Morse of Salem, Massachusetts, patented a way of warming and ventilating apartments using what?",sun's rays
,,"In which year did Gary Schreider, the Canadian football player, die?",2011
Other,Number,"How old was Fatima Sydow, the famous Cape Malay chef, when she passed away?",50
Politics,Other,What is the name of Daniel arap Moi's mother?,Kabon
Science and technology,Date,"On what day, month, and year did the mathematical astronomer Donald Harry Sadler begin working as a Temporary Assistant to Comrie?",13-Oct-30
Music,Number,"What position did the song ""Rockabye,"" featuring Anne-Marie, receive in the 2017 year-end US Billboard Hot 100 charts?",44
,,"What is the street address of the building where the first meeting of the Gay Men's Chorus of Washington, D.C., was held in 1981?",1469 Church Street NW
History,Place,"What fort was Thomas Waller of Branchele knighted at by Thomas Lord Burgh, Lord Deputy of Ireland, in 1597?",Blackwater fort
Politics,Number,What was the length of Mirza Hameedullah Beg's tenure as the Chief Justice of India in years and days?,1 year and 24 days
Video games,Date,"What day, month, and year was the dungeon Dire Maul originally added to the game ""World of Warcraft""?",07-Mar-05
Science and technology,Date,In what year was the praying mantis species Eremiaphila aristidis described by Lucas?,1880
Geography,Place,"Which city was the first in the Southern Hemisphere and the second in the world after Philadelphia, Pennsylvania, in the United States to integrate electric street lights into its infrastructure?",Kimberley
Geography,Number,"As of 2011, what was the female population of Chitwan District?","3,00,897"
Politics,Other,What is the name of the political communications firm where New York State Representative Mike Lawler was a partner from 2018 to 2022?,Checkmate Strategies
Politics,Other,"What is the section title for 7 U.S. Code 136m in the Federal Insecticide, Fungicide, and Rodenticide Act?",Indemnities
,,What is the name of the CIA project whose user guide was published by WikiLeaks on 10 August 2017?,CouchPotato
Other,Place,What country did Sarah Young and her husband start a counseling practice for women who had been sexually or spiritually abused?,Australia
Science and technology,Person,"What is the name of the chemist who fully developed the aquarium principle in 1850, explaining that plants added to water in a container would give off enough oxygen to support animals, as long as the number of animals did not grow too large?",Robert Warington
Other,Date,What day and month was the New Zealand actor Benjamin Mitchell born?,Jul-07
Geography,Place,"What is the list entry name for the National Heritage List entry number 1090695 in Stonehouse, Stroud, Gloucestershire?",Bede Cottage
Science and technology,Date,What year were the guidelines outlining requirements for the inclusion of soluble biomarkers in osteoarthritis clinical trials published?,2015
Politics,Person,Who was the first Deputy Chief Minister of Jammu and Kashmir?,Mirza Afzal Beg
Science and technology,Date,In what year was American chemist Eger Vaughan Murphree awarded the Perkin Medal?,1950
Other,Number,"How many cards are in the ""Moonology Messages Oracle"" card deck created by Yasmin Boland?",48
Art,Other,What was the name of the play in which entertainer/artist/actor Charles Marchand (1890-1930) made his first public appearance in Ottawa in 1910?,Fleur d’ajonc
Video games,Date,What patch for the original Dark Souls made it so the Cracked Red Eye Orb is no longer consumed when connecting to an invasion fails?,1.04
Music,Other,"What band opened on Sunday, September 6, 1992, at Ieperfest Hardcore '92 festival?",Abolition
Other,Person,"Who officiated Tammy Faye Messner's burial on July 21, 2007?",Rev. Randy McCain
Politics,Date,In what year was Thomas Clingman elected to the North Carolina State Senate?,1840
Art,Other,"Name the father and mother of Mukul Chandra Dey, a Bengali artist.",Purnashashi Devi and Kula Chandra Dey
Sports,Number,What place did Michael Vick finish in the Heisman Trophy voting in 2000?,6th
Video games,Number,Which patch for the original Dark Souls reduced the effectiveness of the Hornet Ring?,1.06
Other,Place,Which Ivy League university granted psychologist Robert Rutherford Holt both a master's degree and a Ph.D.?,Harvard
,,What are the names of the triplets to which Dolly the sheep gave birth?,"Lucy, Darcy and Cotton."
Art,Date,In what year did Viktor Vasnetsov collaborate with Apollinary on the theatre design of Sadko?,1897
Science and technology,Number,"When NASA's communication director reported in 2020 that NASA planned to land astronauts on the Moon as part of the U.S. Artemis program, what was the total number of female candidates in the program?",Nine
Science and technology,Person,What is the surname of the individual who won the Polanyi Medal for outstanding contributions to the field of gas kinetics in 2006?,Hippler
History,Number,"How many days was school out after the fire in 1961 at Tomball High School in Harris County, Texas?",four days
Politics,Other,Under what section of CRPC was Omar Abdullah placed under preventive detention by the Indian government on the 4th and 5th of August 2019?,107
Science and technology,Number,What is the DrugBank accession number of Rimegepant?,DB12457
Science and technology,Person,"What is the first name of the individual who won the Gordon E. Moore Medal, an award given yearly by the Society of Chemical Industry to someone who has displayed early career success involving innovation in chemical industries, in 2021?",Carla
Other,Date,"In what year, month, and place was Rahat Kazmi, the Pakistani actor, born?","June 1946, Shimla, Punjab, British India"
Music,Number,How many tracks are there on the album Memeza by Brenda Fassie?,8
History,Person,"What is the first and last name of the father-in-law of Sir Nathaniel Brent, son of Anchor Brent, from his first marriage?",Robert Abbot
,,"What is the full name and surname of the father of the 37th Mayor of San Francisco in California, who was assassinated?",George Joseph Moscone
Science and technology,Date,"What day, month, and year did the Türksat 1A satellite explode before orbiting?",24-Jan-94
Science and technology,Person,What is the surname of the individual who won the Gibson-Fawcett Award in 2012?,Fogg
Sports,Person,What was the name of the winner of the 1992 Scandinavian Masters golf tournament?,Nick Faldo
History,Person,"Who accompanied Lilian Ngoyi on an illegal journey to Lausanne, Switzerland, to participate in the World Congress of Mothers held by the Women's International Democratic Federation (WIDF)?",Dora Tamana
Sports,Other,What country placed 8th in the women's épée team event of the 2020 Tokyo Olympics?,ROC 
Geography,Date,"What year was the municipality of Caucasia, Antioquia, Colombia, founded?",1886
Music,Person,"Whose debut role was “Lohengrin” in “Lohengrin” at the Metropolitan Opera House on January 1, 1890?",Heinrich Vogl
Science and technology,Date,"What were the month and year when WhatsApp announced updated plans to roll out a Communities feature allowing several group chats to exist in a shared space, getting unified notifications, and opening up smaller discussion groups?",Apr-22
History,Date,In what year did Deborah Rhode take over from Judith Brown as Director of the Clayman Institute for Gender Research?,1986
Music,Person,What is the birth name of the Mexican artist Peso Pluma?,Hassan Emilio Kabande Laija
,,Who is Mark's pregnant sister in Season 1 of Severance?,Devon Scout-Hale.
Sports,Number,How many innings did Game 5 of the '86 ALCS last?,11
,,In what city was the 6th ASEM Education Ministers' Meeting held?, Seoul
Art,Person,"What is the name of the sculptor who created the c. 1680 sculpture depicting Ceres in the Belvoir Castle Sculpture Garden in Leicestershire, England?",Caius Gabriel Cibber
Sports,Person,Who coached the Fort William War Veterans hockey team when they won the Memorial Cup in 1922?,Stan Bliss
Other,Person,Give the full name of Rana Ayyub's father (an Indian journalist).,Mohammad Ayyub Waqif
Video games,Other,"In Horizon Zero Dawn's Frozen Wilds DLC, what is CYAN an acronym?",Caldera of Yellowstone Analytic Nexus
Geography,Other,"What is the name of the stone finish on Mohawk Island Lighthouse in Dunnville, Ontario?",hammer-dressed
Sports,Other,Who were the seven countries that participated in the Battle of the Nations tournament in 2011?,"Russia, Ukraine, Belarus, Poland. Italy, Germany, and Quebec."
Politics,Person,"In Pierce v. District of Columbia (2015), which judge ruled that the D.C. Department of Corrections violated the rights of a deaf inmate under the Americans with Disabilities Act?",Ketanji Brown Jackson
Science and technology,Other,What formula is used for finding the inverse of a square matrix in Google Sheets?,MINVERSE
Science and technology,Date,"In which year did the Trillian chat application introduce a feature called ""emotiblips,"" which allows Trillian users to stream files to their instant message recipients as ""the voice and video equivalent of an emoticon?""",2004
TV shows,Other,What is the name of track 8 on the album The Awesome Album that appeared on the Parks and Recreation TV series?,Menace Ball
Sports,Date,"On which day, month, and year was Jomo Cosmos, the South African professional association football club based in Johannesburg that plays in the ABC Motsepe League, founded for the first time?",29-Jan-83
Art,Place,In what city and state is Richard Neutra's Slavin House located?,"Santa Barbara, California"
Science and technology,Number,What is the NASA Space Science Data Coordinated Archive (NSSDCA) ID of the spacecraft Foton-9?,1994-033A
Science and technology,Other,"Give the abbreviated name of the launch vehicle along with its mission or flight number used for carrying the EOS-04 satellite, launched from the Satish Dhawan Space Centre in India in 2022.",PSLV-C52
Music,Date,"On what day, month, and year was Heo Seung, known as Justhis, born?","May 7, 1991."
Science and technology,Other,Who did Kentaro Yano's father tell him the Theory of Relativity was not written by?,God
Science and technology,Other,"What was the first-generation, four-speed manual transmission gearbox type of the Mazda R360 officially called in Japan?",KRBB
Other,Person,"Who was the wife of the Indian criminal ""Welding"" Kumar, who was originally known as Jeyakumar?",Shanti
TV shows,Other,In which season and episode of South Park does Stan ask why dogs have cold noses?,"Season 2 Episode 3: ""Ike's Wee Wee"""
Other,Number,How many steps are in the Shinto burial process?,20
Politics,Person,What was the full name of the first Prime Minister of Congo?,Patrice Émery Lumumba.
TV shows,Other,In which season of Happy Valley does Claire run into Neil?,Season 2
Science and technology,Person,Who was awarded the IEEE/RSE James Clerk Maxwell Medal in 2021?,Evelyn Lynn Hu
Video games,Other,What is the name of track 3 on the Mario Kart 64 Greatest Hits soundtrack released in 1997?,Moo Moo Farm
Video games,Other,What was the official name of Terraria patch 1.4.1?,Rounding Out the Journey
Music,Date,In what month and year did Ronnie Milsap first move to Nashville?,Dec-72
Other,Person,Who served before Cora Sadosky as president of the Association for Women in Mathematics?,Carol S. Wood
TV shows,Date,In which year did the South African soap opera Generations first premiere on SABC 1?,1993
Politics,Date,"What month, day, and year did Amir Hamza put a $2.2 million fatwā on anyone who killed Pastor Terry Jones?","March 22, 2011"
TV shows,Person,Who played the vampire in Penny Dreadful's Season 1?,Robert Nairne
Geography,Date,"In which year was ""Mithila Makhana"" awarded the Geographical Indication (GI) tag?",2022
Other,Place,At what university did Lorne Baird Warneke attend medical school?,University of Alberta 
Politics,Date,"What day, month, and year was Sergio Flamigni, an Italian politician and writer, born?",22-Oct-25
Music,Date,In which year was the Melody Queen of Kashmir awarded the Padma Shri?,2002
Geography,Date,"In which year was a number of procumbent pearlwort (Sagina procumbens) plants first found on Gough Island in the South Atlantic Ocean, capable of dramatically transforming the upland plant ecosystem?",1998
Sports,Number,"From the span of 1948 to 1962, how many times in total did Patty Berg win the Vare Trophy?",3
Other,Person,"As of 2021, who is the host of The Doers Nepal podcast?",Anup Ghimire
Science and technology,Number,How many kilobytes of memory did the IBM 7030 Stretch have?,2048
Politics,Date,In what year was Virgil K. Smith's (Michigan politician) driver's license revoked after being charged with operating a vehicle while impaired in February 2004 and operating a vehicle while intoxicated in August 2004?,2004
Geography,Date,"What year was the municipality of Pueblorrico, Antioquia, Colombia, founded?",1866
Sports,Person,"Under what pseudonym (name and surname) was Marc Julian Bradley, who is a member of the Wisconsin Senate representing the 28th Senate District since 2021, known when he made his professional wrestling debut in 1999?",Kris Krude
Science and technology,Number,"How many calculations per second could the UNIVAC, which was delivered to the Census Bureau in 1951, perform?","1,000"
Politics,Person,What's the full name of the first female Finance Minister in Zambia?,Edith Zewelani Nawakwi
Science and technology,Date,What was the year when NASA Administrator James C. Fletcher proposed a token of $5 million for Hubble in NASA's budget?,1977
Science and technology,Date,In which year was Germund Dahlquist elected to the Royal Swedish Academy of Engineering Sciences?,1965
,,Give the name of Basanti Dulal Nag Chaudhuri's (an Indian nuclear scientist) wife., Dipali Nag née Talukdar
,,What is the name of the mosque that was first built in Srinagar?,Khanqah of Shah Hamadan
Science and technology,Person,What is the surname of the individual who won the De Gennes Prize (formerly known as the Prize for Materials Chemistry) in 2013?,Kitagawa
Politics,Date,"On what day, month, and year was Jose Lampe Cuisia Jr., who served as ambassador for the Philippines to the United States, born?",16-Jul-44
Sports,Person,Who was the Scotsman that formed Clyde Pinelands Football Club in Cape Town in 1898?,Daddy McCloud
Art,Other,Please tell me the name of the book Cindy Sherman published in 2003.,"""Cindy Sherman: The Complete Untitled Film Stills"""
Geography,Place,What was the name of the active volcano Mascarin Peak on Marion Island prior to 2003 when it was renamed?,State President Swart Peak
Science and technology,Person,What is the name of the Japanese scientist who received the Shaw Prize in 2008?,Shinya Yamanaka
History,Date,In which month and year did Sir Frederick Lugard organize the West African Frontier Force?,August 1897
Sports,Number,"How many balls did Ishan Kishan play in the Indian Premier League 2019 final match between CSK and MI on May 12, 2019?",26
Science and technology,Date,What year did Albert-László Barabási receive the Cozzarelli Prize from the U.S. National Academies of Sciences?,2009
Sports,Other,In what position did Romania finish in the 2022 Rugby Europe Championship?,Second position
Video games,Number,How many individual plastic Fimir miniatures were included in the original HeroQuest Game System board game (not including expansions) released in North America in 1990?,3
Sports,Date,In what year was Isavel Roche-Kelly named UCT Sportsperson of the Year?,1980
Art,Other,What is the name of the book Cindy Sherman published in 2001?,Early Work of Cindy Sherman
History,Other,"What did CSA Brigadier General James Lusk Alcorn denounce as ""a cancer upon the body of the nation""?",slavery
Other,Person,What's Dreadbolt's secret identity?,Terrence Bolatinsky
Art,Date,During what year did Kiki Smith earn the Nelson A. Rockefeller Award for the first time?,2010
TV shows,Other,"In which ""Adventure Time"" episode does Finn break his legs?","Season 3, Episode 15: No One Can Hear You"
TV shows,Number,How many times did Kameron Michaels lip-sync on RPDR Season 10?,6
Sports,Date,In what month and year did Maxi Gnauck officially announce her retirement from gymnastics?,Apr-86
Music,Other,What is the name of the 20th song on the Wrath of the Lich King Official Soundtrack CD?,"""Angrathar's Shadow"""
Other,Place,From which Boston University did pharmacist George F. Archambault earn a law degree?,Northeastern University
Science and technology,Date,In which year was John B. Goodenough elected a member of the National Academy of Engineering?,1976
Geography,Number,What is the forest cover area of Sikkim in square kilometers according to the interpretation of IRS Resourcesat-2 LISS III satellite data from 2017?,"3,342.49"
Art,Date,During which year did Pipilotti Rist receive a Special Award from the Seville European Film Festival?,2009
Music,Other,What is the name of Track 4 on the Sonic Free Riders Original Soundtrack released in 2010?,"""Theme of Rocky Ridge"""
Science and technology,Person,What is the name of the recipient of the Lapworth Medal in 2004?,James Valentine
Geography,Place,What is the name of the town where the Jaynes Covered Bridge is situated?,"Waterville, Vermont"
Science and technology,Person,"Who was the first African American woman to patent a web-based EEO software (Nalikah, formerly known as LinkLine)?",Janet Emerson Bashen
Politics,Person,What is the first and last name of the Deputy Speaker of the 10th Parliament of Uganda?, Jacob Oulanyah
Music,Date,In what year did John Lennon and Yoko Ono donate their psychedelic Rolls-Royce to the Cooper Hewitt Museum?,1977
Other,Number,How many children did Leonard P. Zakim have?,Three
Sports,Place,Where did Mohinder Amarnath score his first Test century?,Perth at the WACA
Other,Person,What was the name of the director who took over from Barbara Gelpi in 2004 as the director of the Clayman Institute for Gender Research?,Londa Schiebinger
,,In what year was the Cunningham Dance Foundation established to support the Merce Cunningham Dance Company?,1964
Geography,Place,Where was Agostina Pietrantoni born?,Pozzaglia Sabina
Politics,Date,"On what day, month, and year was Kliment Yefremovich Voroshilov approved as Chairman of the Presidium of the Supreme Soviet?",15-Mar-53
Politics,Date,"On what date (day/month/year) was Fazal Ilahi Chaudhry, former Speaker of the National Assembly of Pakistan, elected as the Speaker of the Provincial Assembly of West Pakistan?",20-May-56
Art,Date,"In which year did Arshad Sauleh (an artist and a radio broadcaster of Srinagar, Kashmir) win the Merit Award from the State Academy of Art, Culture, and Language Srinagar?",2011
,,How many times has the Pakistan People's Party emerged as the leading opposition party in Pakistan on a national level until 2022?, four
Sports,Person,"From whom did Kip Fulbeck, the Professor of Art at UC Santa Barbara, receive his black belt in Shotokan karate?",Steve Ubl
Politics,Date,"What was the date, month, and year when the German Defence Minister Peter Struck announced further major changes to the German armed forces? A major part of this announcement was the plan to cut the German fighter fleet from 426 in early 2004 to 265 by 2015.","January 13, 2004"
Music,Number,How many inductees did the American Classical Hall of Fame have in 2008?,Six.
Politics,Person,Who was convicted in 2019 of espionage by Iranian authorities in a closed-door trial in Iran?,Niloufar Bayan
,,"What day, month, and year did Barry ""Jock"" Zonfrillo, the chef, die?","April 30, 2023"
Geography,Number,How many natural lakes does Puerto Rico have?,none
Other,Person,"Who laid the foundation of Woodland House School in Srinagar, India?",Mrs. Rup SP Singh
Politics,Date,In which year was Dr. Abu Baker Asvat awarded the Order of Luthuli in Silver by President Cyril Ramaphosa?,2021
Music,Date,"What month and year was Greek artist Kristof's album ""Psychagogia"" released?",Feb-22
Politics,Person,What was the name of the perpetrator who slashed Park Geun-hye's face?,Ji Chung-ho
Sports,Person,To whom was Ida Adamoff married?,Claude Bourdet
Sports,Person,What was the name of the winner of the 1991 Scandinavian Masters golf tournament?,Colin Montgomerie
Science and technology,Date,In what year was the beetle species Glipa alboscutellata described?,1934
Politics,Date,"On which date, month, and year did the BBC publish an apology on their website for previously publishing inaccurate statements about Tunisian politician Rached Ghannouchi six months earlier on 21 November 2012?",17-May-13
Sports,Person,What is the first name and surname of the female runner who came third in the Ultra Old Mutual Two Oceans Marathon in 2019?,Irvette Van Zyl
Art,Person,What was the name of Salvador Dalí's uncle who owned a bookshop in Barcelona?,Anselm Domènech
Art,Person,Who created the scarf that Isadora Duncan was wearing when she died in a car accident?,Roman Chatov.
TV shows,Person,What actor did Burt Reynolds replace on Gunsmoke?,Dennis Weaver
Art,Person,Which architect designed and built the Stebel House in Los Angeles in 1961?,Harry Gesner.
Geography,Place,"The main ingredients of Braulio liquor are medicinal herbs, fruits, roots, and berries that originally were collected on the slopes of what valley?",Braulio Valley
Geography,Place,From which university did geographer Wilbur Zelinsky receive his master's degree?,"University of Wisconsin, Madison"
Science and technology,Date,"What was the date, month, and year when the Air Force Space Command allayed fears of GPS failure, saying, ""There's only a small risk we will not continue to exceed our performance standard""?",21-May-09
Other,Number,"As of 31 March 2017, how many post offices does the Indian Postal Service have?","1,54,965"
Art,Date,In what year did artist Doris Lusk create a painting of the Tuai Power Station?,1948
Sports,Number,What was the score of the second football game ever played between Virginia Tech and Alabama in points?,Virginia Tech 0 - 27 Alabama
Politics,Number,How many more votes did Freeman Freeman-Thomas win than George Sandys in the 1906 Bodmin by-election?,"1,093"
Art,Other,"Which breed of pigs was featured on Maine's 2018 Common Ground Country Fair poster, painted by Arika von Edler?",kunekune
Politics,Date,In which year did the United States Defense Health Agency first approve payment for sex reassignment surgery for an active-duty U.S. military service member?,2017
Science and technology,Other,"Which family does Sabella spallanzanii, a species of marine polychaete worms, belong to?",Sabellidae
Politics,Person,Who was the 1992 recipient of the D. B. Hardeman Prize?,Barbara Sinclair
Art,Person,"To whom was Berta Singerman, the actress, married?",Rubén Enrique Stolek
Politics,Date,What year was an act passed by Congress that allowed Puerto Ricans to elect their own governor?,1947
Video games,Date,"Provide the day, month, and year Foxtel and Microsoft announced a new way of receiving Foxtel through Xbox 360's online service Xbox LIVE.",20-May-10
Other,Person,What is the name of the sole survivor of the 2008 Yeti Airlines Flight 103 crash?,Surendra Kunwar
Art,Date,"During which year did Gerhard Richter have a solo exhibition named ""Gerhard Richter 4900 Colours: Version II""?",2008
Art,Person,Who created Ida Mntwana's bronze statue?,Sarah Lovejoy
Music,Other,"What was the title of the opening theme song for the radio program ""The American Album of Familiar Music""?","""Dream Serenade"""
Other,Other,"Comedian Phyllis Diller was crowned with what title by ""Field and Stream"" magazine in 1973?",Miss Fun Fishing
Politics,Place,Which is the first state in India to operationalize an ABDM microsite under the 100 Microsites Project by the National Health Authority?, Mizoram
Geography,Number,What is the forest cover area of Delhi in square kilometers according to the India State of Forest Report 2019?,195.44
Science and technology,Other,Name the enzyme that has an enzyme commission number of 3.1.4.2.,Glycerophosphocholine phosphodiesterase
Art,Date,"In which year did Ratan Parimoo (an Indian art historian from Kashmir) win the Gaurav Puraskar, Gujarat State Lalit Kala Akademi?",2000
Science and technology,Number,"How many control participants were used in the research paper ""Grey matter atrophy in cognitively impaired Parkinson’s disease,"" published in the February 2012 edition of the Journal of Neurology, Neurosurgery, and Psychiatry?",34
Art,Other,What kind of factory did Anselm Kiefer transform into a studio in 1992?,Silk factory.
Video games,Person,Who was the first recipient of the Nebula Award for Best Game Writing?,Charlie Brooker
,,What did Robert Southey state was the singular diagnosis for Horatio Lord Nelson's illness and subsequent evacuation during the San Juan expedition in 1780?,Dysentery
Art,Other,"After Madie Hall Xuma arrived in South Africa, what was the name of the musical she produced?",The Green Pastures
Science and technology,Other,What was the affiliated institute of the winner of the Turing Award in 1968?,Bell Labs
Science and technology,Person,"Which mathematician, affiliated with Princeton University at the time, received the Fields Medal in 2022?",June Huh
Politics,Date,In which month and year was Durga Prasad Dhar (an Indian politician) appointed as the Union Minister for Planning?," July, 1972"
Other,Person,"What was the name and surname of the judge in the 'Miss World' pageant of 1958, who was a photojournalist and editor?",Charles Jacobs
Sports,Date,"On what day, month, and year was Miguel Gerardo Velázquez Olivares, a Mexican professional footballer, born?",02-Jul-90
Science and technology,Date,In what year was Glipodes bordoni described by Franciscolo?,1990
Science and technology,Person,Who was the first recipient of the IEEE Computer Society Charles Babbage Award?,Irving S. Reed
Geography,Date,In which year did a mouse eradication program first commence on the volcanic island called Gough Island in the South Atlantic Ocean?,2021
Music,Other,"In 2011, during the Hands Across Hawthorne rally, which followed Brad Forkner's speech and Basic Rights Oregon's call for volunteers for the Queer Patrol, which Beatles song did the crowd sing?","""I Want to Hold Your Hand"""
Art,Date,In what year did the Costume Institute become a curatorial department?,1959
Science and technology,Date,On what date did the last total lunar eclipse for three years occur?,"November 8, 2022"
Science and technology,Number,What is the NASA Space Science Data Coordinated Archive (NSSDCA) ID of the spacecraft Bion 9?,1989-075A
Music,Other,What was Emma Albani’s role in “Les Huguenots” in 1891 at the Metropolitan Opera in New York?,Valentine
Music,Other,What promotional single did Milet release in 2021?,"""Ordinary Days"""
Geography,Date,"On what month, day, and year was Mammoth Cave National Park first designated as an International Dark Sky Park?","October 28, 2021."
Science and technology,Date,In which month of 1994 was the FSW-2 spacecraft launched?,July
Music,Date,"On what month, day, and year did Emil Oberhoffer conduct the first performance by the LA Philharmonic of Maurice Ravel's ""Alborada del Gracioso""?","July 8, 1926"
Politics,Person,"What are the name and surname of the man whom Rosa Bloch-Bollag, an activist and member of the Swiss Socialist Party, married?",Siegfried Bollag
Politics,Date,In which year did Limpho Hani resign from her seat in the Lower House of the new South African Parliament?,1999
History,Date,"In what year was Henry Petty, 1st Earl of Shelburne, elected to the Irish House of Commons for Midleton?",1692
Science and technology,Date,In what year was the praying mantis species Eremiaphila cycloptera described by Uvarov?,1939
TV shows,Person,"Who played Sarah Robinson in ""Felicity"" Season 4, Episode 4?",Monica
Politics,Date,From which year to which year did the Albanian politician Ibrahim Rugova study at the University of Paris?,From 1976 to 1977
Music,Other,"On which album does the Relient K song ""May the Horse Be with You"" appear?","""The Anatomy of the Tongue in Cheek"""
Geography,Date,"What year was the municipality of Apartadó, Antioquia, Colombia, founded?",1907
History,Person,Who (full name) served as Hollins College's president from 1901 to 1933?,Martha Louisa Cocke a.k.a Miss Matty Cocke
Science and technology,Person,"What Toronto doctoral student coauthored ""Note on Symmetric Algebras (1938)"" with Tadashi Nakayama?",Cecil J Nesbitt
Geography,Date,"What month and year did the New Brighton Pier in Christchurch, New Zealand, reopen following earthquake repairs in 2017?",May-18
Geography,Date,"What year was the municipality of Amagá, Antioquia, Colombia, founded?",1788
History,Date,"On what day, month, and year was St. Jude's Church, Birmingham consecrated?",26 July 1851
TV shows,Person,Who does Omni-Man kill in front of Invincible during their fight in Season 1 to prove to him that people's lives are meaningless?,A pilot
Sports,Place,At what baseball field did the Bluff City Bombers of the Central Illinois Collegiate League play their home games from 1998 to 2004?,Lloyd Hopkins Field
Art,Date,"On what month, day, and year was Debbie Allen honored for her contributions to dance and presented with a Lifetime Achievement Award by Nia Peeples at The Carnival: Choreographer's Ball 10th anniversary show?","February 4, 2009"
Politics,Date,"What were the day, month, and year when President Bush and Congress agreed on the joint resolution authorizing the Iraq War?","October 2, 2002"
Other,Person,"What was the name of the father of two-time Vice Chancellor of the University of Kashmir, Talat Ahmad?",Moinuddin Ahmad.
Art,Date,"On what day, month, and year was the actor and singer Corbin Bleu's portrait added to the Broadway Wall of Fame at Tony's Di Napoli restaurant in New York?","March 16, 2010"
Geography,Number,What is the total area of Chitwan National Park in square kilometers?,952.63 km2
Music,Place,In what theater in Brazil did Louis Moreau Gottschalk collapse from yellow fever during his performance?,Teatro Lyrico Fluminense
Sports,Place,What is the name of the place of birth of Hannes Fink?,"Bolzano, Italy"
Politics,Date,"In which year did President Donald Trump promise to return humans to the Moon and eventually Mars, and increase the NASA budget by $1.1 billion?",2017
Art,Date,Sir Isaac Julien's installation piece 'Radioactive' is from what year?,2004
Science and technology,Other,"What was the title of Sibel Adalı's 1996 dissertation, supervised by V. S. Subrahmanian?",Query Processing in Heterogeneous Mediated Systems
Music,Number,How many inductees did the American Classical Music Hall of Fame have in 2005?,None.
Sports,Date,"On what day, month, and year was Shohidul Islam, Bangladeshi cricketer, born?",05-Jan-95
Other,Place,What is the name of the college where Prince Nirajan Bir Bikram Shah Dev completed his bachelor's degree?,Kathmandu College of Management.
Video games,Number,What is the durability of the Istarelle spear from Demon's Souls (2009)?,800
Geography,Other,What is the name of the first suspension-type bridge to come across the Jhelum in Srinagar city?,Lal Mandi Footbridge
TV shows,Date,"In Season 2 of the American version of ""The Circle,"" what episode did Terilisha get blocked?",7
Sports,Date,"On what date, month, and year was Clifford Cunnell, an English cricketer, born?",31-Aug-44
Politics,Date,On what day in 2022 was the Ministry of Culture and Equality (Norway) established?,1st January 
Art,Person,Who was the maternal grandfather of the Russian stage actress and singer Baroness Olga Vadimovna von Root?,Karl Kazimirovich Kostsyushko-Valyuzhinich
Music,Date,In which year did Matvey Blanter begin his long-lasting collaboration with the poet Mikhail Isakovsky?,1938
Science and technology,Person,"Who was given the first academic title ""Professor of Psychology""?",James McKeen Cattell
Science and technology,Other,How is the virus that killed Dolly the sheep abbreviated?,JSRV
